run_name,kernel_type,seed,n_qubits,n_layers,entanglement,n_train,n_test,svm_c,rbf_gamma,train_kernel,initial_theta,maxiter,learning_rate,perturbation,n_trainable_params,train_time_sec,kernel_eval_time_sec,test_accuracy,optimal_value,optimizer_evals
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=10p0_seed=42,quantum_chebyshev,42,2,1,linear,200,100,10.0,,False,random,20,0.05,0.05,3,0.0,64.01818588600145,0.85,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=1p0_seed=42,quantum_chebyshev,42,2,1,linear,200,100,1.0,,False,random,20,0.05,0.05,3,0.0,65.14819569099927,0.83,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=1p0_seed=43,quantum_chebyshev,43,2,1,linear,200,100,1.0,,False,random,20,0.05,0.05,3,0.0,65.29943434699817,0.92,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p01_seed=43,quantum_chebyshev,43,2,1,linear,200,100,0.01,,False,random,20,0.05,0.05,3,0.0,65.4582582869989,0.91,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p1_seed=43,quantum_chebyshev,43,2,1,linear,200,100,0.1,,False,random,20,0.05,0.05,3,0.0,65.92587732600077,0.91,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=10p0_seed=43,quantum_chebyshev,43,2,1,linear,200,100,10.0,,False,random,20,0.05,0.05,3,0.0,65.73337666899897,0.91,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=100p0_seed=42,quantum_chebyshev,42,2,1,linear,200,100,100.0,,False,random,20,0.05,0.05,3,0.0,66.07091392400616,0.84,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p1_seed=42,quantum_chebyshev,42,2,1,linear,200,100,0.1,,False,random,20,0.05,0.05,3,0.0,81.11619194500236,0.68,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p01_seed=42,quantum_chebyshev,42,2,1,linear,200,100,0.01,,False,random,20,0.05,0.05,3,0.0,87.44366760199773,0.6,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p01_seed=43,quantum_chebyshev,43,2,2,linear,200,100,0.01,,False,random,20,0.05,0.05,6,0.0,103.54532547000417,0.93,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p1_seed=43,quantum_chebyshev,43,2,2,linear,200,100,0.1,,False,random,20,0.05,0.05,6,0.0,103.71821964499395,0.96,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=10p0_seed=43,quantum_chebyshev,43,2,2,linear,200,100,10.0,,False,random,20,0.05,0.05,6,0.0,103.94808819299942,0.97,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=1p0_seed=43,quantum_chebyshev,43,2,2,linear,200,100,1.0,,False,random,20,0.05,0.05,6,0.0,105.56178311700205,0.97,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=100p0_seed=42,quantum_chebyshev,42,2,2,linear,200,100,100.0,,False,random,20,0.05,0.05,6,0.0,104.07107828000153,0.91,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=10p0_seed=42,quantum_chebyshev,42,2,2,linear,200,100,10.0,,False,random,20,0.05,0.05,6,0.0,108.12333784499788,0.86,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=1p0_seed=42,quantum_chebyshev,42,2,2,linear,200,100,1.0,,False,random,20,0.05,0.05,6,0.0,114.23787900699972,0.9,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=100p0_seed=43,quantum_chebyshev,43,2,1,linear,200,100,100.0,,False,random,20,0.05,0.05,3,0.0,65.8150159900033,0.92,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p1_seed=42,quantum_chebyshev,42,2,2,linear,200,100,0.1,,False,random,20,0.05,0.05,6,0.0,126.24921431400435,0.88,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p01_seed=42,quantum_chebyshev,42,2,2,linear,200,100,0.01,,False,random,20,0.05,0.05,6,0.0,130.98313682900334,0.9,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p01_seed=44,quantum_chebyshev,44,2,1,linear,200,100,0.01,,False,random,20,0.05,0.05,3,0.0,65.36886396400223,0.97,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=1p0_seed=43,quantum_chebyshev,43,4,1,linear,200,100,1.0,,False,random,20,0.05,0.05,7,0.0,146.10376027400343,0.93,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=10p0_seed=43,quantum_chebyshev,43,4,1,linear,200,100,10.0,,False,random,20,0.05,0.05,7,0.0,146.7590861849967,0.91,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=10p0_seed=42,quantum_chebyshev,42,4,1,linear,200,100,10.0,,False,random,20,0.05,0.05,7,0.0,147.9456151810009,0.89,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=1p0_seed=42,quantum_chebyshev,42,4,1,linear,200,100,1.0,,False,random,20,0.05,0.05,7,0.0,148.85398796600202,0.86,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p1_seed=43,quantum_chebyshev,43,4,1,linear,200,100,0.1,,False,random,20,0.05,0.05,7,0.0,149.04356744700635,0.91,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p01_seed=43,quantum_chebyshev,43,4,1,linear,200,100,0.01,,False,random,20,0.05,0.05,7,0.0,149.20380103199568,0.9,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=100p0_seed=42,quantum_chebyshev,42,4,1,linear,200,100,100.0,,False,random,20,0.05,0.05,7,0.0,152.82982900099887,0.86,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=100p0_seed=43,quantum_chebyshev,43,2,2,linear,200,100,100.0,,False,random,20,0.05,0.05,6,0.0,100.9875578659994,0.98,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p1_seed=42,quantum_chebyshev,42,4,1,linear,200,100,0.1,,False,random,20,0.05,0.05,7,0.0,166.91841839900007,0.79,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p01_seed=44,quantum_chebyshev,44,2,2,linear,200,100,0.01,,False,random,20,0.05,0.05,6,0.0,103.42480442899978,0.68,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p1_seed=44,quantum_chebyshev,44,2,1,linear,200,100,0.1,,False,random,20,0.05,0.05,3,0.0,65.76899598599994,0.97,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p01_seed=42,quantum_chebyshev,42,4,1,linear,200,100,0.01,,False,random,20,0.05,0.05,7,0.0,182.39848448200064,0.76,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=1p0_seed=44,quantum_chebyshev,44,2,1,linear,200,100,1.0,,False,random,20,0.05,0.05,3,0.0,72.03511378799885,0.98,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=100p0_seed=43,quantum_chebyshev,43,4,1,linear,200,100,100.0,,False,random,20,0.05,0.05,7,0.0,149.08136941100383,0.91,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=10p0_seed=44,quantum_chebyshev,44,2,1,linear,200,100,10.0,,False,random,20,0.05,0.05,3,0.0,65.9764411569995,0.98,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p01_seed=44,quantum_chebyshev,44,4,1,linear,200,100,0.01,,False,random,20,0.05,0.05,7,0.0,151.0535435740021,0.64,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p1_seed=44,quantum_chebyshev,44,2,2,linear,200,100,0.1,,False,random,20,0.05,0.05,6,0.0,106.24497717100166,0.76,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=1p0_seed=42,quantum_chebyshev,42,4,2,linear,200,100,1.0,,False,random,20,0.05,0.05,14,0.0,232.82134977300302,0.87,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=0p01_seed=43,quantum_chebyshev,43,4,2,linear,200,100,0.01,,False,random,20,0.05,0.05,14,0.0,234.3043600000019,0.98,nan,nan
